รหัสสินค้า,ชื่อสินค้า,  ราคา  
1732/4,2นิ้วx10หลา BIO SPORT TAPE แบบรุพรุน (กระบอก6ม้วน) (กระบอก6ม้ว), 357.00 
1732,2นิ้วx10หลา NEOTAPE กระบอก (กระบอก), 395.00 
1732/2,2นิ้วx10หลา SportTape (กระบอก6ม้วน) สปอร์ตเทป [NEOTAPE] (กระบอก), 472.00 
5164/6,3D MASK DAILY MASK กล่อง30ชิ้น unicharm size L (ก.30ชิ้น), 315.00 
5164/5,3D MASK DAILY MASK กล่อง30ชิ้น unicharm size M (ก.30ชิ้น), 315.00 
5164/7,3D MASK DAILY MASK กล่อง30ชิ้น unicharm size S (ก.30ชิ้น), 315.00 
5164/4,3D MASK DAILY MASK ซอง10ชิ้น unicharm L (ซอง10ชิ้น), 44.50 
5164/3,3D MASK DAILY MASK ซอง10ชิ้น unicharm size M (ซอง10ชิ้น), 44.50 
5165,3M CARBON MASK หน้ากากอนามัยพร้อมชั้นกรองคาร์บอน ทรง3D 4ชั้น 2ชิ้น (ซอง2ชิ้น), 13.00 
5163,3M DAILY KIDS MASK หน้ากากอนามัย สำหรับเด็ก ทรง3D 3ชั้น 4ชิ้น (ซอง4ชิ้น), 17.00 
5164,3M DAILY MASK หน้ากากอนามัย ทรง3D 3ชั้น 3ชิ้น (ซอง3ชิ้น), 15.00 
99995/3,3M DISPOSABLE EARPLUGS NRR32dB (ก.1คู่) โฟมอุดหู ลดเสียง (ก.1คู่), 14.00 
2-455,3M NEXCARE MICROPORE 1นิ้วx10หลา (ก.12ม้วน), 532.00 
2-455/7,3M NEXCARE MICROPORE 1นิ้วx10หลา แบบมีแท่นตัด (ก.12ม้วน), 578.00 
3950/1,3M NEXCARE PLASTIC PLASTER สีใส 1x50p (ก.50ชิ้น), 103.50 
3950,3M NEXCARE TRANSPARENT ใส กันน้ำ 25x72mm 1x50p (ก.50ชิ้น), 103.50 
ก.พ.-98,3M NEXCARE TRANSPORE 1/2นิ้วx10หลา (ก.24ม้วน), 530.00 
1365,3M NEXCARE TRANSPORE 1/2นิ้วx2.5หลา (ก.12ม้วน), 99.00 
1367,3M NEXCARE TRANSPORE 1/2นิ้วx5หลา **ขึ้น199 (ก.12กล่อง), 195.00 
ก.พ.-97,3M NEXCARE TRANSPORE 1นิ้วx10หลา (ก.12ม้วน), 520.00 
3904,3M PAINT ODOR RESPIRATOR R95 หน้ากาก 3M กันละอองสีและกลิ่น R95 (1ชิ้น) (ชิ้น), 20.00 
13282/8,4cm x 2m Cariband Tigerpast ผ้าพันแผล ยึดติดเอง [Easifix cohesive] (ก.10ม้วน) (ก.10ม้วน), 499.00 
13282/18,4cm x 4m Rhino Easifix ผ้าพันแผล ยึดติดเอง (ก.10ม้วน), 325.00 
13282/9,6cm x 2m Cariband ผ้าพันแผล ยึดติดเอง Tigerplas [Easifix cohesive] (ก.10ม้วน), 576.00 
13282/19,6cm x 4m Rhino Easifix ผ้าพันแผล ยึดติดเอง (ก.10ม้วน), 426.00 
13282/10,8cmx2m Cariband Tigerpast ผ้าพันแผล ยึดติดเอง [Easifix cohesive] (กล่อง10ม้วน) (ก.10ม้วน), 617.00 
13282/20,8cm x 4m Rhino Easifix ผ้าพันแผล ยึดติดเอง (ก.10ม้วน), 506.00 
2415/3,A B PRE&PRO 1x10s MEGA (ก.10ซอง), 233.00 
2907/2,ACC SANDOZ 200mg 2x10s รส blackberry (ก.10แผง), 153.00 
2907/6,ACC SANDOZ 600mg 2x5s รส blackberry (ก.5แผง), 137.00 
11,ACCU-CHEK GUIDE เครื่อง รวม เข็ม รวม แผ่น25ชิ้น (ชุด) **ราคาพิเศษถึงมีค69** (ชุด)," 1,999.00 "
011/2,ACCU-CHEK Instant strip แผ่น กล่อง25ชิ้น (กล่อง) (กล่อง), 433.00 
011/4,ACCU-CHEK Instant strip แผ่น กล่อง50ชิ้น (กล่อง) (กล่อง), 739.00 
011/1,ACCU-CHEK Instant เครื่อง รวม เข็ม รวม แผ่น25ชิ้น (ชุด) **ราคาพิเศษถึงมีค69** (ชุด)," 1,295.00 "
4307,ACCU-CHEK เข็ม fastclix (ก.24ชิ้น) แอคคู-เช็ค (กล่อง) (ก.24ชิ้น), 86.50 
4698,ACCU-CHEK เข็ม softclix (ก.25ชิ้น) แอคคู-เช็ค (กล่อง) (ก.25ชิ้น), 81.25 
157,ACCU-CHEK แผ่น active (ก.25ชิ้น) แอคคู-เช็ค (กล่อง) (กล่อง), 430.00 
2-407,ACCU-CHEK แผ่น GUIDE (ก.25ชิ้น) แอคคู-เช็ค (กล่อง) (กล่อง), 435.00 
2-407/1,ACCU-CHEK แผ่น GUIDE (ก.50ชิ้น) แอคคู-เช็ค **ราคาพิเศษ** (กล่อง), 699.00 
158,ACCU-CHEK แผ่น performa (ก.25ชิ้น) แอคคู-เช็ค (กล่อง) (กล่อง), 594.00 
131811/3,ACETATE RINGER INJECTION ถุุง1000ml ป้ายฟ้า [ANB] (ถุง) น้ำเกลือAR (ถุง), 42.50 
3606,ACETIN 100mg 50ซองx5g (ก.50ซอง), 106.00 
3605,ACETIN 200mg 50ซองx5g (ก.50ซอง), 151.00 
2907/5,ACETIN ฉีด INJECTIONS OR INFUSIONS 10x3ml (ก.10หลอด), 213.00 
2257-1,ACNE-AID GENTLE CLEANSER SENSITIVE SKIN 100ml ขวดฟ้า (ขวด), 140.75 
2257/5,ACNE-AID GENTLE CLEANSER SENSITIVE SKIN 500ml ขวดปั้มฟ้า (ขวด), 432.00 
2257/9,ACNE-AID GENTLE CLEANSER SENSITIVE SKIN 900ml ขวดปั้มฟ้า (ขวด), 647.00 
2258-1,ACNE-AID LIQUID CLEANSER OIL CONTROL 100ml ขวดแดง (ขวด), 140.50 
2258/5,ACNE-AID LIQUID CLEANSER OIL CONTROL 500ml ขวดปั้มแดง (ขวด), 433.50 
15950,ACNE-AID LIQUID CLEANSER OIL CONTROL 50ml ขวดแดง (ขวด), 96.00 
2258/9,ACNE-AID LIQUID CLEANSER OIL CONTROL 900ml ขวดปั้มแดง (ขวด), 629.00 
2583/18,ACNE-AID MICELLAR CLEANSING WATER SENSITIVE SKIN 235 ML (ขวด), 179.50 
3554/1,ACNE AID OIL CONTROL FOAMING FACE WASH 100ml (ขวด) (ขวด), 140.00 
1143,ACNETIN-A 0.025% 10g (ก.1หลอด), 38.00 
1144,ACNETIN-A 0.05% 10g (ก.1หลอด), 40.75 
