รหัสสินค้า,ชื่อสินค้า,ราคา (ดิบ)
5887,TERACORTE SKIN Cream 15 g (Macrophar),ราคา 58.00 บาท
5886,ผ้ายืดพันแผล KSG CONFORMING BANDAGE 4 inch 12 ม้วน/กล่อง,ราคา 88.00 บาท
5885,ผ้ายืดพันแผล KSG CONFORMING BANDAGE 3 inch 12 ม้วน/กล่อง,ราคา 68.00 บาท
5884,ผ้ายืดพันแผล KSG CONFORMING BANDAGE 2 inch 12 ม้วน/กล่อง,ราคา 50.00 บาท
5883,BOOST OPTIMUM กลิ่นธัญพืช 800 g (Nestle),ราคา 775.00 บาท
5882,CERAVE OIL CONTROL MOISTURISING Gel Cream 52 ml,ราคา 465.00 บาท
5880,CERAVE HYDRO UREA Lotion 473 ml,ราคา 665.00 บาท
5879,ยาหม่องอโรมาติกส์ ตราเฌอเอม,ราคา 0.00 บาท
5878,ยาดมทูเวย์ จรุงจิต 1 โหล/กล่อง,ราคา 0.00 บาท
5877,BIOASTAMIN PLUS 30's (BIOPHARM),ราคา 410.00 บาท
5876,SOS Plus ถุงหุ้มเฝือกกันน้ำ FM-081 สำหรับเท้า 1 ชิ้น/กล่อง,ราคา 125.00 บาท
5875,CERAVE MOISTURISING Lotion 236 ml,ราคา 370.00 บาท
5874,ชุดทดสอบสารเสพติดเมทแอมเฟตามีน ชนิดหยด MAG TEST 1 ชุด/กล่อง,ราคา 22.00 บาท
5873,ชุดหน้ากากพ่นยาผู้ใหญ่ MASK M8-123-122S (2B),ราคา 26.00 บาท
5872,ชุดหน้ากากพ่นยาเด็ก MASK M8-123-121S (2B),ราคา 45.00 บาท
5871,ผ้ายางสำหรับขวางที่นอน SP-PD00-7101 (TA),ราคา 95.00 บาท
5852,PROVAMED ADVANCED WHITENING GLYCOLIC GLOW SERUM 30 ml,ราคา 275.00 บาท
5858,ตะขาบ 5 ตัว ยาหม่องน้ำ 22 ml,ราคา 70.00 บาท
5857,ตะขาบ 5 ตัว ยาดมทูเวย์ 12 หลอด/กล่อง,ราคา 195.00 บาท
5856,DOIZ 50 mg 1X10's (SIAM),ราคา 88.00 บาท
5855,ยาหม่องผสมเสลดพังพอน ตราเฌอเอม 65 g,ราคา 0.00 บาท
5854,GLUCOSE T.P (50%) 50 ml,ราคา 23.00 บาท
5853,COLOSURE 800 g,ราคา 735.00 บาท
5849,CARBOSOL (50X10's),ราคา 610.00 บาท
