รหัสสินค้า,ชื่อสินค้า,ราคา (ดิบ)
2965,ROWATINEX (10X10's),ราคา 482.00 บาท
2966,VISTRA COLLAGEN Di PEPTIDE 30's,ราคา 365.00 บาท
2967,TRAM 0.1% Cream 15 g (TNP),ราคา 46.00 บาท
2968,SEROQUEL XR 300 mg 60's,"ราคา 8,400.00 บาท"
2969,ยาน้ำเอี๊ยะบ่อเช่า ผสมว่านชักมดลูก สูตร 2 สีทอง 350 ml (C&L),ราคา 383.00 บาท
2970,ยาน้ำเอี๊ยะบ่อเช่า ผสมว่านชักมดลูก สูตร 2 สีทอง 750 ml (C&L),ราคา 750.00 บาท
2971,ถ้วยทองโอสถ ยาหม่องน้ำ ลูกกลิ้ง 7 ml,ราคา 32.50 บาท
2973,ANAN ผ้าอ้อมผู้ใหญ่แบบเทป No.L-XL 10 ชิ้น/ห่อ,ราคา 268.00 บาท
2974,GLIZID-M (10X10's),ราคา 830.00 บาท
2975,FAVOTAN (5/100mg) 3X10's FRX,ราคา 955.00 บาท
2979,TRAJENTA DUO (2.5mg/1000mg) 60's,"ราคา 1,530.00 บาท"
2980,RESOLOR 1 mg 28's,ราคา 835.00 บาท
2981,ELASTIC BANDAGE 6 inch 6 ม้วน/แพ็ก,ราคา 218.00 บาท
2982,ยานัตถุ์หมอชิต 36 ขวด/กล่อง,ราคา 605.00 บาท
2983,MULTIVITAMIN 50X10's (GREATER),ราคา 260.00 บาท
2984,สำลีแผ่น 4x4 inch ตรารถพยาบาล 450 g,ราคา 132.00 บาท
2985,สำลีแผ่น 4x6 inch ตรารถพยาบาล 450 g,ราคา 132.00 บาท
2986,BUSCOPAN 10 mg (10X10's),ราคา 345.00 บาท
2987,NATEAR UD EYE Drops 28X0.8ml/กล่อง (TEVA),ราคา 202.00 บาท
2988,NATEAR UD EYE Drops 7X0.8ml/กล่อง (TEVA),ราคา 57.00 บาท
2989,ยาน้ำแก้ไอ ยูอีคอฟ ซีดี มะขามป้อม 120 ml,ราคา 29.00 บาท
2990,JARDIANCE 25 mg 30's,"ราคา 2,720.00 บาท"
2991,POLIDENT FRESH MINT Cream 20 g (GSK),ราคา 88.00 บาท
2993,RELVAR ELLIPTA (100/25) 30 Doses GSK,"ราคา 1,060.00 บาท"
2994,TIZAN 2 mg (5X10's),ราคา 260.00 บาท
2995,BRINTELLIX 10 mg (2X14's),"ราคา 1,690.00 บาท"
2996,ยาหม่องสมุนไพรไทย โพธิ์หยก 3 ขวด/กล่อง,ราคา 125.00 บาท
2997,CAMELLA 1X21's (TNP),ราคา 73.00 บาท
2998,CAMELLA 1X28's (TNP),ราคา 73.00 บาท
3000,BERLONTIN 300 mg 10X10's (BERLIN),ราคา 318.00 บาท
3004,ผ้าก๊อซ GAUZE 6 inch (Pharmahof),ราคา 175.00 บาท
3006,หมวกตัวหนอน สีเขียว 100 ชิ้น/ห่อ,ราคา 160.00 บาท
3007,PIP MINOX 10 mg 100's,ราคา 175.00 บาท
3008,เก้าอี้นั่งถ่าย 12 นิ้ว 3 ขา No.S (Canton),ราคา 470.00 บาท
3009,เก้าอี้นั่งถ่าย 16 นิ้ว 3 ขา No.M (Canton),ราคา 495.00 บาท
3010,เก้าอี้นั่งถ่าย 20 นิ้ว 3 ขา No.L (Canton),ราคา 520.00 บาท
3014,GREATOFEN 400 mg 25X10's/กล่อง (GREATER),ราคา 355.00 บาท
3015,FLUDAN 50X10's (BIOLAB),ราคา 380.00 บาท
3016,MERA 10X10's (CMED),ราคา 68.00 บาท
3017,SMECTA 10 ซอง/กล่อง,ราคา 155.00 บาท
3019,MANMOX DRY Syrup 125 mg กลิ่นองุ่น 60 ml (T.MAN),ราคา 19.75 บาท
3020,VULTIN 100 mg (10X10's),ราคา 240.00 บาท
3021,AUGMENTIN 1 g 1X10's (GSK),ราคา 228.00 บาท
3023,RESOLOR 2 mg 28's,"ราคา 1,445.00 บาท"
3024,T.V.MOX DRY Syrup 125 mg กลิ่นส้ม 60 ml (T.MAN),ราคา 21.00 บาท
3027,INFUSION SET ชุดน้ำเกลือ,ราคา 19.50 บาท
3030,NOVAR BLACK SESAMIN PACK (2X30's+10's),ราคา 760.00 บาท
3035,CALTRATE SILVER 50+ 120's (GSK),ราคา 597.00 บาท
3038,BOOST OPTIMUM กลิ่นวานิลลา 800 g (Nestle),ราคา 778.00 บาท
3039,เก้าอี้นั่งถ่าย 4 ขา พับได้ (Mobility),"ราคา 2,550.00 บาท"
3040,BETAHIS 6 mg 10X10's (Farmaline),ราคา 92.00 บาท
3041,BETAHIS 12 mg 10X10's (Farmaline),ราคา 138.00 บาท
3042,ALPHAGAN Ophthalmic Solution 5 ml,ราคา 178.00 บาท
3043,CAZOSIN 2 mg 10X10's (Millimed),ราคา 126.00 บาท
3044,CAZOSIN 4 mg 10X10's (Millimed),ราคา 215.00 บาท
3045,น้ำมันยา ตรามาร์วิน สเปรย์ 20 ml,ราคา 38.50 บาท
3048,BIOCOXIB 90 mg 5X5's (BIOPHARM),ราคา 385.00 บาท
3049,BAINTO 250 mg 24's,ราคา 39.50 บาท
3052,NIKO NIKO ปั้มนมเก็บพร้อมขวด (Canton),ราคา 140.00 บาท
3055,อภัยภูเบศร ยาครีมพญายอ 10 g,ราคา 22.00 บาท
3057,MOXIPHARM 500 mg 500's (Medicpharma),ราคา 535.00 บาท
3058,XARATOR 20 mg 3X10's (VIATRIS),ราคา 655.00 บาท
3064,XARATOR 10 mg 3X10's (VIATRIS),ราคา 523.00 บาท
3065,ESPENAL 50 mg 10X10's (SPS),ราคา 235.00 บาท
3066,LIPITOR 20 mg 3X10's (VIATRIS),"ราคา 1,654.00 บาท"
3067,BELCID FORTE 240 ml (BIOPHARM),ราคา 34.00 บาท
3069,NORMETEC (5mg/40mg) 30's,ราคา 880.00 บาท
3070,NORMETEC (5mg/20mg) 30's,ราคา 625.00 บาท
3071,SALONPAS พลาสเตอร์บรรเทาปวด 20 ชิ้น/กล่อง,ราคา 67.00 บาท
3072,PRADAXA 110 mg 30's,"ราคา 1,749.00 บาท"
3075,NSS SOFCLENS 100 ml (TNP),ราคา 26.50 บาท
3076,NSS SOFCLENS 500 ml (TNP),ราคา 36.00 บาท
3077,NSS SOFCLENS 1000 ml (TNP),ราคา 47.00 บาท
3078,XARELTO 20 mg 28's,"ราคา 4,555.00 บาท"
3079,LEFTOSE 30 mg (10X10's),ราคา 205.00 บาท
3080,ACCU-CHEK INSTANT เครื่องตรวจน้ำตาล+แถบตรวจ (Roche),"ราคา 1,490.00 บาท"
3081,GREATOFEN 600 mg 20X10's/กล่อง (GREATER),ราคา 430.00 บาท
3084,EBIXA 5 mg 50 ml,ราคา 0.00 บาท
3086,สติ๊กเกอร์ หัวหอม HAPPY NOZ,ราคา 66.00 บาท
3087,BETMESONE-N Cream 15 g,ราคา 40.00 บาท
3094,เซียงเพียว รีลีฟ ครีม 62 g,ราคา 57.50 บาท
3095,BUFENAC 25 mg 100X10's (BURAPHA),ราคา 206.00 บาท
3097,VITA C 25 mg กลิ่นองุ่น 50X30's (T.MAN),ราคา 215.00 บาท
3098,VITA C 25 mg กลิ่นสับปะรด 50X30's (T.MAN),ราคา 215.00 บาท
3105,KAMISTAD-GEL N 10 g,ราคา 86.00 บาท
3106,CLOTRIDREAM Cream 20 g (NL),ราคา 19.00 บาท
3107,ENSURE 850 g กลิ่นธัญพืช (Abbott),ราคา 870.00 บาท
3108,ENSURE GOLD 400 g สูตรใหม่ HMB กลิ่นธัญพืช (Abbott),ราคา 438.00 บาท
3109,ZOLOFT 50 mg 30's (VIATRIS),"ราคา 1,340.00 บาท"
3110,VITA C 25 mg กลิ่นส้ม 50X30's (T.MAN),ราคา 215.00 บาท
3111,DIFFLAM รสไวล์ดเบอร์รี่ 8's,ราคา 23.00 บาท
3112,DIFFLAM HONEY&LEMON รสน้ำผึ้งผสมมะนาว 8's,ราคา 23.00 บาท
3113,DIFFLAM ORANGE+VIT C รสส้มผสมวิตามินซี 8's,ราคา 23.00 บาท
3114,OCUSOFT LID SCRUB PLUS 30/กล่อง,ราคา 560.00 บาท
3116,POLIZINE 25 mg 25X10's (POLIPHARM),ราคา 196.00 บาท
3117,BETA-DIPO Cream 25 g (TNP),ราคา 59.50 บาท
3118,DAFLON 1000 mg (3X10's),ราคา 588.00 บาท
3119,BUFENAC FORTE 50 mg 50X10's (BURAPHA),ราคา 220.00 บาท
3120,HYPERCOR 5 mg 10X10's (SPS),ราคา 255.00 บาท
3121,HYPERCOR 2.5 mg 10X10's (SPS),ราคา 210.00 บาท
3122,EUGICA MOUTH Spray 10 ml (MEGA),ราคา 75.00 บาท
3123,แป้งศรีจันทร์ NEW BORN กระป๋อง 150 g,ราคา 38.00 บาท
3124,MIRAX-M 10 mg 10X10's (BERLIN),ราคา 61.50 บาท
3125,RABEPRAZOLE 10 mg 14's (SANDOZ),ราคา 260.00 บาท
3126,MAMARINE KIDS MULTIVITAMIN ORIGINAL 120 ml,ราคา 72.00 บาท
3127,MAMARINE KIDS PLUS LYSINE 120 ml,เหลือ 118.00 บาท
3128,MAMARINE BIO C KIDS BOOSTER 120 ml,ราคา 248.00 บาท
3130,FLUIMUCIL A Granules 200 mg 30 sachets/กล่อง (Zambon),ราคา 185.00 บาท
3133,อภัยภูเบศร บอระเพ็ด 70's,ราคา 64.00 บาท
3134,อภัยภูเบศร ยาแคปซูล ใบบัวบก 70's,ราคา 97.00 บาท
3136,ถังขยะเก็บเข็ม PRO SAVE,ราคา 60.00 บาท
3137,ยาหม่องผสมไพล สูตร 2 ตราวังพรม 100 g,ราคา 102.00 บาท
3138,JANUVIA 50 mg 28's (MSD),"ราคา 1,460.00 บาท"
3140,TOMEI ANTI-ACNE CREAM PLUS (7 in 1) 5 g,ราคา 125.00 บาท
3142,BILAXTEN 20 mg 1X10's (Menarini),ราคา 142.00 บาท
3145,GAVISCON Suspension กาวิสคอน มิ้นต์ 12X10ml,ราคา 277.00 บาท
3146,DERMATOP Cream 15 g (SANOFI),ราคา 96.50 บาท
3147,SUCTION CATHETERS สายดูดเสมหะ No.10 50 ห่อ/เส้น,ราคา 175.00 บาท
3148,ULCEFATE Tablet 1 g 10X10's (SIAM),ราคา 710.00 บาท
3149,SPIRIVA RESPIMAT 2.5 mcg (1X4 ml),"ราคา 1,769.00 บาท"
3151,ACNE AID LIQUID CLEANSER OIL CONTROL 100 ml,ราคา 290.00 บาท
3152,EXIB 90 mg 1X5's (Millimed),ราคา 52.00 บาท
3154,TEGADERM A1 ฟิล์มกันน้ำ Size M (6x7cm) 3 ชิ้น/กล่อง,ราคา 31.00 บาท
3155,TEGADERM A2 ฟิล์มกันน้ำ Size L (10x12cm) 3 ชิ้น/กล่อง,ราคา 65.00 บาท
3156,ยาดมเปปเปอร์มิ้นท์ ฟิลด์ แบล็ค Inhaler 12X2ml/โหล,ราคา 242.00 บาท
3159,HOTTA GINGER สูตรต้นตำรับ ขิง 45 g 5 ซอง/ห่อ,ราคา 42.00 บาท
3160,ยาสีฟันเทพไทย รสดั้งเดิม 70 g,ราคา 80.00 บาท
3161,AVAMIGRAN 1X10's (Menarini),ราคา 47.00 บาท
3162,TOLOXIN 0.25 mg 100X10's (TO),ราคา 295.00 บาท
3165,TEGADERM A3 ฟิล์มกันน้ำพร้อมแผ่นซับแผล Size M (5x7cm) 2 ชิ้น/กล่อง,ราคา 28.00 บาท
3166,BAKAMOL 500 mg 10X10's (Medicpharma),ราคา 78.00 บาท
3169,SILVERDERM Cream 450 g (TO),ราคา 315.00 บาท
3170,PROBAC-7 30 ซอง (Interpharma),"ราคา 1,300.00 บาท"
3171,TEGADERM A4 ฟิล์มกันน้ำพร้อมแผ่นซับแผล Size L (6x10cm) 2 ชิ้น/กล่อง,ราคา 43.50 บาท
3172,GLUCOMEAL 400 g กลิ่นวานิลลา (MEGA),ราคา 875.00 บาท
3173,CARDENOL 40 mg 100X10's (TO),ราคา 4.00 บาท
3174,TODESAAR 8 mg 3X10's (TO),ราคา 285.00 บาท
3175,DAFIRO (10mg/160mg) 2X14's Novartis,ราคา 639.00 บาท
3176,PIDOXAM 10 mg 10X10's (PATAR),ราคา 70.00 บาท
3178,FOLIC ACID 5 mg 1000's,ราคา 365.00 บาท
3180,CHLORPHENIRAMINE Syrup 60 ml,ราคา 17.00 บาท
3181,TELFAST Suspension สำหรับเด็ก 60 ml (SANOFI),ราคา 134.00 บาท
3182,BUFLEX 400 mg 50X10's/กล่อง (BURAPHA),ราคา 420.00 บาท
3185,LIVERA 140 mg 1X10's (BKD),ราคา 100.00 บาท
3191,VM BACK SUPPORT No.S เข็มขัดพยุงหลัง,ราคา 348.00 บาท
3192,VM BACK SUPPORT No.M เข็มขัดพยุงหลัง,ราคา 360.00 บาท
3193,VM BACK SUPPORT No.L เข็มขัดพยุงหลัง,ราคา 360.00 บาท
3194,VM BACK SUPPORT No.XL เข็มขัดพยุงหลัง,ราคา 360.00 บาท
3195,VM BACK SUPPORT No.XXL เข็มขัดพยุงหลัง,ราคา 360.00 บาท
3196,DAFIRO (5mg/160mg) 2X14's Novartis,ราคา 639.00 บาท
3199,OPPLIN EYE Wash ยาล้างตา 100 ml (TNP),ราคา 29.00 บาท
3205,CALTAB 1250 mg 10X10's (Millimed),ราคา 102.00 บาท
3206,JARDIANCE DUO (5mg/1000mg) 60's,"ราคา 1,950.00 บาท"
3207,JARDIANCE DUO (12.5mg/1000mg) 60's,"ราคา 2,720.00 บาท"
3208,AMLODAC 5 mg 10X10's (PML),ราคา 60.00 บาท
3209,AMLODAC 10 mg 10X10's (PML),ราคา 87.00 บาท
3211,SOLUFEN 400 mg 10's (BERLIN),ราคา 42.50 บาท
3212,TEST GPO METH CASSETTE พร้อมอุปกรณ์ 50 ชุด/ลัง,ราคา 835.00 บาท
3213,XIGDUO XR (5mg/1000mg) 8X7's Astrazeneca,"ราคา 1,820.00 บาท"
3214,ACNETIN-A (0.025%) 10 g,ราคา 39.00 บาท
3215,ACNETIN-A (0.05%) 10 g,ราคา 43.00 บาท
3216,GOFEN 400 mg 5X10's/แพ็ก (MEGA),ราคา 405.00 บาท
3217,BESIX (50X10's),ราคา 10.00 บาท
3218,SOPMIL 40 mg 25X10's (TO),ราคา 235.00 บาท
3220,VM BACK SUPPORT No.3XL เข็มขัดพยุงหลัง,ราคา 360.00 บาท
3221,KOJI 0.6 mg 50X10's (PATAR),ราคา 250.00 บาท
3223,PURICAS SCAR Gel 20 g (เพียวริก้าส์),ราคา 495.00 บาท
3225,ถุงมือแพทย์ ไฮแคร์ เซนส์ Size M 100 ชิ้น/กล่อง,ราคา 109.00 บาท
3228,GLYXAMBI (10mg/5mg) 30's,"ราคา 2,372.00 บาท"
3229,GLYXAMBI (25mg/5mg) 30's,"ราคา 2,995.00 บาท"
3230,COKLAVE 1000 mg 10's (RX Chumchon),ราคา 81.00 บาท
3231,TORCOZIA 90 mg 5's (RX chumchon),ราคา 48.00 บาท
3232,RETACNYL 0.05% Cream 30 g,ราคา 288.00 บาท
3233,BIOGAIA Powder 10 ซอง (Abbott),ราคา 385.00 บาท
3234,TWYNSTA (80/10mg) 30's,ราคา 875.00 บาท
3236,CATANAC 50 mg 25X10's (CPL),ราคา 280.00 บาท
3237,PRIMOLUT-N 5 mg 2X15's (BAYER),ราคา 173.00 บาท
3238,LEVOCET 5 mg 1X10's (RX Chumchon),ราคา 53.50 บาท
3240,FISH OIL 1000 mg 60's (SML),ราคา 180.00 บาท
3241,FISH OIL 1000 mg 100's (SML),ราคา 210.00 บาท
3243,กระเป๋าน้ำร้อนคละสี ใบใหญ่ GS,ราคา 84.00 บาท
3244,RITA 1X21's (BIOPHARM),ราคา 43.00 บาท
3245,RITA 1X28's (BIOPHARM),ราคา 43.00 บาท
3246,HYDROCHLOROTHIAZIDE HCTZ 50 mg 100X10's (TO),ราคา 240.00 บาท
3247,ALCIDOL 0.25 mcg 10X10's (Macrophar),ราคา 320.00 บาท
3252,PHAMAMIN 50 mg 100X10's (CPL),ราคา 180.00 บาท
3253,TIGERPLAST LEOPOVIDONE 15 ml,ราคา 23.75 บาท
3254,กระชายดำ ขาวละออ 100's (KLO),ราคา 160.00 บาท
3256,NASOL Spray 15 ml,ราคา 79.00 บาท
3257,PATAR ENEMA 10X20ml (PATAR),ราคา 56.00 บาท
3259,TIGER BALM PLASTER COOL (7x10cm) สูตรเย็น 5 ห่อ,ราคา 225.00 บาท
3260,TIGER BALM PLASTER WARM (7x10cm) สูตรร้อน 5 ห่อ,ราคา 225.00 บาท
3264,LOXIDIL 5 mg 100's (NL),ราคา 84.00 บาท
3266,MASK หน้ากากอนามัย SURE สีเขียว 50 ชิ้น/กล่อง,ราคา 36.00 บาท
3270,แป้นถุงถ่าย WELLAND รุ่น VALORE XT2F613 5 ชิ้น/กล่อง,ราคา 670.00 บาท
3271,ถุงอุจจาระ WELLAND รุ่น VALORE XT2D960 30 ชิ้น/กล่อง,"ราคา 1,580.00 บาท"
3272,PATBLUE 500 mg เม็ดรี 50X10's (TNP),ราคา 355.00 บาท
3274,PEPPERMINT FIELD MASK DROP แมสก์ ดรอป กลิ่นเฟรชมิ้นท์ 12X3ml/กล่อง,ราคา 320.00 บาท
3275,PEPPERMINT FIELD MASK DROP แมสก์ ดรอป กลิ่นแบล็คมิ้นท์ 12X3ml/กล่อง,ราคา 320.00 บาท
3276,เซียงเพียว แมสก์ดรอป MASK DROP กลิ่นธรรมดา 12X3ml/กล่อง,ราคา 320.00 บาท
3278,MYOGESIC (50X10's),ราคา 260.00 บาท
3279,CARDIPOT 20 mg 10X10's (BERLIN),ราคา 395.00 บาท
3280,BERLONTIN 100 mg 10X10's (BERLIN),ราคา 212.00 บาท
3281,SOMINAR 25 mg 10's (CBLAB),ราคา 24.00 บาท
3282,BIOGAIA GASTRUS CHEWABLE Tablet 10's (Abbott),ราคา 358.00 บาท
3283,MYBACIN มายบาซิน โอทีซี รสมิ้นท์ 20X8's (GREATER),ราคา 145.00 บาท
3284,MYBACIN มายบาซิน โอทีซี รสมิ้นท์ 140X8's (GREATER),เหลือ 8.50 บาท
3286,MYOPAS 100X10's (T.MAN),ราคา 460.00 บาท
3287,GAVISCON ADVANCE PEPPERMINT กาวิสคอน 24X10ml,ราคา 715.00 บาท
3289,PROBAC-10 PLUS 30 ซอง (Interpharma),"ราคา 2,750.00 บาท"
3293,FOLI-C 100's (PATAR),ราคา 43.00 บาท
3294,ABILIFY 10 mg 3X10's (OTSUKA),"ราคา 4,500.00 บาท"
3295,LADI Lotion 3 ml,ราคา 32.00 บาท
1,ยาหอม ตรา 5 เจดีย์ เบอร์ 2 ขนาด 9 g,ราคา 11.00 บาท
2,ยาหอม ตรา 5 เจดีย์ ชนิดหลอด 12X1g/กล่อง,ราคา 33.00 บาท
3,ACA 2 mg 1000's (ATC),ราคา 220.00 บาท
4,ACCU-CHEK ACTIVE STRIPS 25 ชิ้น/กล่อง (Roche),ราคา 433.00 บาท
5,ACNE AID BAR 100 g,ราคา 180.00 บาท
6,DECAVITAMIN 500's (Macrophar),ราคา 440.00 บาท
7,ACNE AID LIQUID CLEANSER OIL CONTROL 100 ml,ราคา 144.00 บาท
8,ACTOS 15 mg (3X10's),"ราคา 1,407.00 บาท"
9,ACTOS 30 mg (3X10's),"ราคา 2,262.00 บาท"
10,AERIUS 5 mg 10's (ORGANON),ราคา 252.00 บาท
13,AIR-X รสมินท์ 50X10's (RX),ราคา 12.40 บาท
14,AIR-X DROP 15 ml (RX),ราคา 46.50 บาท
15,AIR-X 80 mg รสส้ม 50X10's (RX),ราคา 12.40 บาท
16,ALBEN 200 mg 1X2's (BIOPHARM),ราคา 7.50 บาท
17,ALBER-T Cream 10 g (UNISON),ราคา 43.50 บาท
18,ALCOHOL PACK 6X60ml (ศิริบัญชา),ราคา 8.50 บาท
19,ALCOHOL SPRAY 30 ml (ศิริบัญชา),ราคา 28.00 บาท
21,ALDACTONE 25 mg (10X10's),ราคา 317.00 บาท
22,ALDOMET 250 mg (50X10's),ราคา 23.00 บาท
23,ALOE Gel 30 g,ราคา 36.00 บาท
24,MINRA 1X10's (TNP),ราคา 19.00 บาท
29,AMBROX 60ml (กลิ่นราสเบอรี่),ราคา 28.00 บาท
30,AMBROX Junior 60ml (กลิ่นราสเบอรี่),ราคา 28.00 บาท
31,AMICOF Syrup สำหรับเด็ก 60 ml,ราคา 23.00 บาท
32,AMICOF Syrup สำหรับผู้ใหญ่ 60 ml,ราคา 29.50 บาท
33,AMMELTZ 48 ml,ราคา 94.00 บาท
34,AMMELTZ 82 ml,ราคา 136.00 บาท
35,AMMONIA แอมโมเนียหอม 30 ml (วิทยาศรม),ราคา 13.50 บาท
36,AMOKSIKLAV 1000 mg 1X10's (SANDOZ),ราคา 115.00 บาท
39,AMOXY RX 500 mg 50X10's (RX),ราคา 18.75 บาท
41,AMXOL BIOLAB กล่อง (10X10's),ราคา 76.00 บาท
42,AMXOL Syrup 60 ml (BIOPHARM),ราคา 19.00 บาท
44,ANAMAI 1X28's (TNP),ราคา 21.00 บาท
45,ANAPRIL 20 mg 10X10's (BERLIN),ราคา 100.00 บาท
46,ANAPRIL 5 mg 10X10's (BERLIN),ราคา 62.00 บาท
48,ANNA แอนนา 1X28's (TNP),ราคา 27.50 บาท
49,ANTACIL 50X10's (TNP),ราคา 495.00 บาท
50,ANTACIL Gel 1000 ml (TNP),ราคา 144.00 บาท
51,ANTACIL Gel 240 ml (TNP),ราคา 43.50 บาท
52,ANTACIL Gel 450 ml (TNP),ราคา 74.00 บาท
53,ANTERGAN Cream 10 g (TNP),ราคา 25.00 บาท
55,APROVEL 150mg (2X14's),ราคา 630.00 บาท
56,ARISTOCORT 0.02% Cream 15 g,ราคา 45.50 บาท
57,ARISTOCORT 0.1% Cream 15 g,ราคา 73.00 บาท
58,ASMASOLON (10X10's),ราคา 190.00 บาท
59,ASMOPHEN 12X10's (PDL),ราคา 105.00 บาท
61,ASPENT 300 mg 1000's,ราคา 485.00 บาท
63,AUREOMYCIN 250 mg (12X10's),ราคา 51.00 บาท
64,AUREO Ointment 5 g,ราคา 31.50 บาท
66,SAMBEE B1-6-12 บรรจุ 1000's (Medicpharma),ราคา 355.00 บาท
67,VITAMIN B1-6-12 บรรจุ 500's (GPO),ราคา 210.00 บาท
68,VITAMIN B COMPLEX 1000's เม็ดสีแดง (ROTA),ราคา 215.00 บาท
69,VITAMIN B COMPLEX 1000's เม็ดสีเหลือง (ROTA),ราคา 215.00 บาท
71,BACTIGRAS 10x10cm,ราคา 198.00 บาท
72,ไวท์ฟาร์ม นมอัดเม็ด ช็อกโกแลต 10 ซอง/กล่อง,ราคา 80.00 บาท
74,BANNER SOY PROTEIN+LECITHIN 30's,ราคา 190.00 บาท
75,BANNER GOLD PLUS MULTIVITAMINS+ZINC 60's,ราคา 430.00 บาท
76,BANOCIN Powder 10 g,ราคา 41.00 บาท
77,BEBIDOL 120 ml (TNP),ราคา 34.00 บาท
79,BEGESIC Cream 30 g (BERLIN),ราคา 28.00 บาท
80,BELCID 1000 ml (BIOPHARM),ราคา 84.50 บาท
81,BELCID 240 ml (BIOPHARM),ราคา 34.00 บาท
82,BENDA 500 mg 1's (TNP),ราคา 15.50 บาท
83,BENDA 500 mg 1's กลิ่นมะนาว (TNP),ราคา 15.50 บาท
84,BENDA Suspension กลิ่นผลไม้ 30 ml,ราคา 18.75 บาท
85,BERAMOL Drops 15 ml (BMP),ราคา 19.00 บาท
86,BERAMOL DEK Syrup รสเชอร์รี่ 60 ml (BMP),ราคา 16.00 บาท
87,BERCLOMIN Tablets 50X10's (POLIPHARM),ราคา 10.50 บาท
88,BERCLOMIN Syrup 60 ml (POLIPHARM),ราคา 23.50 บาท
89,BERODUAL FORTE UDV 20X4ml,ราคา 654.00 บาท
90,BERODUAL Solution 20 ml,ราคา 382.00 บาท
91,BERODUAL MDI 10 ml,ราคา 307.00 บาท
92,BETADINE SURGICAL SCRUB 500 ml,ราคา 192.00 บาท
93,BETADINE Solution 30 ml,ราคา 67.50 บาท
94,BETADINE Solution 500 ml,ราคา 235.00 บาท
97,BETALOL 10 mg 100X10's (BERLIN),ราคา 5.50 บาท
99,BETAMETHASONE-N Cream 15 g (GPO),ราคา 41.50 บาท
101,BETAMETHASONE Cream 15 g (GPO),ราคา 25.25 บาท
102,BETHASONE Cream 5 g (GREATER),ราคา 15.50 บาท
103,BETHASONE Cream 15 g (GREATER),ราคา 31.00 บาท
104,BETAMETHASONE Cream 5 g (GPO),ราคา 14.50 บาท
105,BETHASONE-N Cream 15 g (GREATER),ราคา 33.00 บาท
106,BETHASONE-N 5 g (GREATER),ราคา 16.75 บาท
107,BETNOVATE Cream 15 g (GSK),ราคา 87.00 บาท
108,BETNOVATE SCALP 30 ml (GSK),ราคา 162.00 บาท
109,BETNOVATE-N Cream 15 g (GSK),ราคา 101.00 บาท
111,BETOSALIC Ointment 15 g (TO),ราคา 49.00 บาท
112,BLACKMORES MAGNESIUM 50's,ราคา 308.00 บาท
113,BLACKMORES BIO C 1000 mg 150's,ราคา 785.00 บาท
116,BIOCALM 50 mg 50X10's (BIOPHARM),ราคา 9.50 บาท
118,BIOTAPLEX-BC (50X10's),ราคา 19.00 บาท
119,BIOTIN 600 mcg 60's,ราคา 245.00 บาท
120,BIOZOLE 150 mg 1's (BIOPHARM),ราคา 25.00 บาท
121,BIOZOLE 200 mg 5X10's (BIOPHARM),ราคา 118.00 บาท
124,BISOLVON EX 125 ml (SANOFI),ราคา 98.50 บาท
125,BISOLVON EX 60 ml (SANOFI),ราคา 52.50 บาท
126,BISOLVON PEDIATRIC 60 ml (SANOFI),ราคา 48.50 บาท
127,BLOPRESS 16 mg 4X7's (TAKEDA),ราคา 980.00 บาท
128,BLOPRESS 8 mg 4X7's (TAKEDA),ราคา 679.00 บาท
129,BLOPRESS PLUS 8 mg 4X7's (TAKEDA),ราคา 679.00 บาท
130,BABY COUGH Syrup 60 ml (ATC),ราคา 16.50 บาท
131,BONJELA 15 g,ราคา 165.00 บาท
132,BOTAN รสดั้งเดิม 24 ตลับ,ราคา 14.50 บาท
134,BOTAN MINT BALL SUGAR FREE (20X20's),ราคา 395.00 บาท
137,BRAND'S รังนก คลาสสิคผสมน้ำตาลกรวด 70 ml,"ราคา 1,550.00 บาท"
139,BRAND'S ซุปไก่สกัด ผสมวิตามินบีคอมเพล็กซ์และธาตุเหล็ก 60's,ราคา 328.00 บาท
141,BRYGEL 50X10's (Brywood),ราคา 10.50 บาท
142,BRYGEL 240 ml (Brywood),ราคา 61.50 บาท
143,C-20 Mouthwash 180 ml (OSi),ราคา 41.00 บาท
144,CALSOURCE 500 mg Effervescent 20's (GSK),ราคา 257.00 บาท
145,CADEXCIN-N EYE-EAR Drops 4 ml (TNP),ราคา 21.00 บาท
146,CADRAMINE-V Lotion 60 ml,ราคา 20.00 บาท
147,CADRAMINE-V Lotion 120 ml,ราคา 28.50 บาท
148,CAFERGOT (1X10's),ราคา 59.00 บาท
149,CALAMINE 120 ml (ศิริบัญชา),ราคา 22.00 บาท
150,CALAMINE 450 ml (ศิริบัญชา),ราคา 47.00 บาท
153,PANADOL Children 250mg/5ml รสส้ม 60 ml (GSK),ราคา 59.00 บาท
155,CALTRATE 600 mg 60's (GSK),ราคา 240.00 บาท
156,CALTRATE PLUS 60's (GSK),ราคา 312.00 บาท
157,CANAZOL-BE Cream 15 g (TO),ราคา 39.00 บาท
158,CANAZOL-BE Cream 5 g (TO),ราคา 20.00 บาท
159,CANDID EAR Drops 15 ml,ราคา 68.50 บาท
160,CANDIX Solution 15 ml (NL),ราคา 21.75 บาท
161,CANESTEN Cream 10 g (BAYER),ราคา 83.50 บาท
162,CANESTEN Cream 20 g (BAYER),ราคา 143.50 บาท
