รหัสสินค้า,ชื่อสินค้า,ราคา, ราคา ,(ดิบ)
14599,CERAVE SA SMOOTHING cleanser 8 oz ล้างและผลัดเซลผิว,369, 369.00 ,บาท/ขวด
15883,CERAVE SA SMOOTHING cleanser 88 ml ล้างและผลัดเซลผิว,185, 185.00 ,บาท/ขวด
15231,CERAVE Skin Renewing Vitamin C Serum 30 ML.,649, 649.00 ,บาท/หลอด
11256,CERAZETTE 28'S,186, 186.00 ,บาท/กล่อง
15300,CERUVIN 3X10'S RANBEXY,255, 255.00 ,บาท/กล่อง
11544,CESOLINE 25 MG. 50X10'S (hydralazine) CPL,13.5, 13.50 ,บาท/แผง
10649,CETAB SYRUP 60 ML,20, 20.00 ,บาท/ขวด
16389,CETAPHIL GENTLE EXFOLIATING SA CLEANSER 236 ML.,320, 320.00 ,บาท/ขวด
12886,CETAPHIL GENTLE SKIN CLEANSER 4 OZ,162, 162.00 ,บาท/ขวด
12888,CETAPHIL GENTLE SKIN CLEANSER 500ML,409, 409.00 ,บาท/ขวด
15520,CETAPHIL HYDRATING FOAMING CREAM CLEANSER 236 ML,318.5, 318.50 ,บาท/ขวด
12887,CETAPHIL MOISTURIZING CREAM 100 GM.,172, 172.00 ,บาท/หลอด
15872,CETAPHIL MOISTURIZING CREAM 453 GM.,653, 653.00 ,บาท/กระปุก
14576,CETIRIZIN 50X10'S สหแพทย์ ขายยกกล่อง,115, 115.00 ,บาท/กล่อง
10643,CETRICIN SYRUP 60 ML.,15.5, 15.50 ,บาท/ขวด
14452,CETRIZET. 10X10'S sun pharma,0, -   ,บาท/
10655,CETRIZIN T.O 50X10'S,260, 260.00 ,บาท/กล่อง
10642,CETRIZIN 10x10t T.O,62, 62.00 ,บาท/กล่อง
10644,CETTEC 10X10'S,52, 52.00 ,บาท/กล่อง
10650,CETTEC SYRUP 100 ML.,20.75, 20.75 ,บาท/ขวด
13506,C-FORCE 100'S 7 STAR,279, 279.00 ,บาท/ขวด
10681,CHA FITNE 20 G. ซิป 10ซอง รุ่นใหม่ 57-,40.75, 40.75 ,บาท/ซอง
10662,CHA FITNE 40 G. ซิป 98-,70, 70.00 ,บาท/ชิ้น
10663,CHA FITNE 80 G. ซิป,127, 127.00 ,บาท/ชิ้น
10664,CHA FITNE เก็กฮวย 20 G. ซิป 57-,40.75, 40.75 ,บาท/ชิ้น
10665,"CHA FITNE เก็กฮวย 37.5 G,ซิป 98-",70, 70.00 ,บาท/ชิ้น
10677,CHA FITNE เก็กฮวย 75 G. ซิป 178-,127, 127.00 ,บาท/ชิ้น
10666,CHA FITNE ชาเขียว 18.80 G. 57-,40.75, 40.75 ,บาท/ชิ้น
10667,CHA FITNE ชาเขียว 35.25 G.98-,70, 70.00 ,บาท/ชิ้น
10671,CHA FITNE ชาเขียว 70.50 G,127, 127.00 ,บาท/ชิ้น
15860,CHA FITNE แบลคเคอร์แรนท์ 33.75 G. ซิป 15 ซอง,70, 70.00 ,บาท/ซอง
14030,CHA FITNE สตรอเบอร์รี่ 25.8 G ซิป 12 ซอง,70, 70.00 ,บาท/ซอง
10659,CHA งามระหง ชง 30 ซอง 90-,59.5, 59.50 ,บาท/ชิ้น
10660,CHA งามระหง เม็ด 80 T ใหม่ 45-,37.25, 37.25 ,บาท/ชิ้น
10668,CHA ชาเม็ดตราใบแก้ว กล่อง รุ่นใหม่ 25-,278, 278.00 ,บาท/โหล
14078,CHALKCAP- 1000 10X10'S ขายยกกล่อง,175, 175.00 ,บาท/กล่อง
16204,CHAMO-LICO propolis plus 20 ml,61, 61.00 ,บาท/ขวด
16272,CHEMTRUE CASSETTE amphetamine strip แบบหยด,20, 20.00 ,บาท/กล่อง
16690,CHEMTRUE COVID-19 (sars-cov-2)atk ขายขาดไม่รับคืน,15, 15.00 ,บาท/กล่อง
10685,CHLORGEST DROP,29, 29.00 ,บาท/ขวด
10690,CHLOR-PYRAD 15 GM.,14, 14.00 ,บาท/ชิ้น
11829,CHLOVAS-20 3X10'S,245, 245.00 ,บาท/กล่อง
11828,CHLOVAS-40 3X10'S,255, 255.00 ,บาท/กล่อง
16094,CHLOVAS-ZIS 20 3X10'S,268, 268.00 ,บาท/กล่อง
14868,CHLOVAS-ZIS 40 MG 3X10'S ขายยกกล่อง,255, 255.00 ,บาท/กล่อง
11931,CHOLEZZ สารสกัดจากคริล ออยล์ 30'S,535, 535.00 ,บาท/กล่อง
13416,CIALIS 20 MG. 4'S ขายขาดไม่รับคืน,1810," 1,810.00 ",บาท/กล่อง
16255,CIALIS 5 MG. 28'S ขายขาดไม่รับคืน,3525," 3,525.00 ",บาท/กล่อง
16520,CICOUGH KIDS SYRUP 100 MG 60 ML. carbocistein AMM,30, 30.00 ,บาท/ขวด
10703,CIFLOXIN 500 MG. 10'S siam,65, 65.00 ,บาท/กล่อง
10700,CIFRAN 500 MG. 10X10'S,330, 330.00 ,บาท/กล่อง
10696,CINNATAB FOIL 50X10'S,3, 3.00 ,บาท/แผง
16213,CINTAR TABLETS 10X10'S patar,36, 36.00 ,บาท/กล่อง
10704,CIPROXYL 500 MG. 10X10'S,225, 225.00 ,บาท/กล่อง
11985,CIRCADIN 2 MG. 15'S,420, 420.00 ,บาท/กล่อง
11349,CISTEINE 100 MG 60 ML.,31.75, 31.75 ,บาท/ขวด
11350,CISTEINE 250 MG 60 ML.,35.75, 35.75 ,บาท/ขวด
11352,CISTEINE TAB 375 MG. 12'S,28.25, 28.25 ,บาท/แผง
15114,CISTEINE TAB 500 MG. 10'S,40, 40.00 ,บาท/แผง
14913,CLARICARE NASAL SALINE ADULT SPRAY 100 ML.,169, 169.00 ,บาท/ขวด
15528,CLARICARE NASAL SPRAY 0.05% 15 ML,126, 126.00 ,บาท/ขวด
15373,CLARIE OD 500 MG. 7'S prolonged-relrase tablets,290, 290.00 ,บาท/กล่อง
10706,CLARITYNE TAB 10'S,130, 130.00 ,บาท/กล่อง
11753,CLARON 500 MG. 10'S,185, 185.00 ,บาท/กล่อง
14389,CLEANSINGI WIPES health impact 50 SHEET,41, 41.00 ,บาท/ห่อ
15963,Clena EX 15 g anti melasma แก้ฝ้า,131, 131.00 ,บาท/หลอด
14331,CLENASCAR 7 GM,69, 69.00 ,บาท/หลอด
11279,CLENS 100 8 ML.,112, 112.00 ,บาท/ขวด
10891,CLINDALIN GEL 5 GM. 10หลอด/กล่อง,35, 35.00 ,บาท/หลอด
10892,CLINDA-M 15 ML. 79-,43, 43.00 ,บาท/ขวด
10918,CLINDAMAN GEL 5 G.,21.5, 21.50 ,บาท/หลอด
10896,CLINDAVID- 300 MG. 10X10'S,277, 277.00 ,บาท/กล่อง
16372,CLINIBLU SYRUP 60 ML bkk,33, 33.00 ,บาท/ขวด
10945,CLINICOLD 60 ML. bk,24, 24.00 ,บาท/ขวด
10948,CLINICOLD TABET 10X10'S. bk,152, 152.00 ,บาท/กล่อง
16268,CLINIPECT 250 MG 60 ML.,44, 44.00 ,บาท/ขวด
16369,CLINIVATE CREAM 15 GM.,25, 25.00 ,บาท/หลอด
10376,CLINIVATE-N CREAM 15 GM.,29.5, 29.50 ,บาท/หลอด
16363,CLINIVATE-N CREAM 35 GM.,58.5, 58.50 ,บาท/หลอด
16655,CLINIVATE-N CREAM 5 GM.,15, 15.00 ,บาท/หลอด
10989,CLINODERM CREAM 15 GM.,39.25, 39.25 ,บาท/หลอด
14671,CLINODERM CREAM 35 GM.,80, 80.00 ,บาท/หลอด
16597,CLINODERM CREAM 5 GM.,20, 20.00 ,บาท/หลอด
15271,CLINOVIR- 800 MG. 7X5'S bkk,250, 250.00 ,บาท/กล่อง
10052,CLINOVIR CREAM 5 GM,30.5, 30.50 ,บาท/หลอด
10981,CLOBET CREAM 10 GM.,33.5, 33.50 ,บาท/หลอด
10980,CLOBET CREAM 5 GM.,23, 23.00 ,บาท/หลอด
10979,CLOBETATE 15 GM.,35, 35.00 ,บาท/หลอด
10988,CLOBETATE SCALP 0.05%,42, 42.00 ,บาท/ขวด
10987,"CLODERM 15 gm,",82, 82.00 ,บาท/กล่อง
15964,CLODERM ointment 15 gm.,82, 82.00 ,บาท/กล่อง
14816,CLODERM SCALP APPLICATION 30 ML.,120, 120.00 ,บาท/ขวด
15894,CLOPIDOGEL 10x10'S GPO ขายขาดไม่รับคืน,252, 252.00 ,บาท/กล่อง
13211,CLOPIDOGREL 2X14'S sandoz,496, 496.00 ,บาท/กล่อง
11871,CLOPIROX 15 ML.,75, 75.00 ,บาท/ขวด
14972,CLOTRIN-B CREAM 15 G.,24.5, 24.50 ,บาท/หลอด
15925,CLOVER HEBS 60 มล.,15, 15.00 ,บาท/ขวด
16553,CLOVIN CREAM 5 GM. acyclovir แอดวานซ์,15, 15.00 ,บาท/หลอด
10151,coamox 500 MG. 10X12'S BLISTER,245, 245.00 ,บาท/กล่อง
10158,COAMOX 500 MG. 500'S,670, 670.00 ,บาท/ขวด
10159,COAMOX 125 DRY ชมพู,23.5, 23.50 ,บาท/ขวด
10157,COAMOX 125 DRY ส้ม 60 ML,23.5, 23.50 ,บาท/ขวด
10160,COAMOX 250 DRY,32.25, 32.25 ,บาท/ขวด
10150,COAMOX 50X10'S ขายยกกล่อง,700, 700.00 ,บาท/กล่อง
11176,"COBAN เทปพันยืดหยุ่น 1"" MONTANA",35, 35.00 ,บาท/ชิ้น
11179,COBAN เทปพันยืดหยุ่น 2' สีน้ำตาล MONTANA,43, 43.00 ,บาท/ชิ้น
11175,COBAN เทปพันยืดหยุ่น 3' สีน้ำตาลMONTANA,55, 55.00 ,บาท/ชิ้น
10705,COBAY-500 25X10'S,329, 329.00 ,บาท/กล่อง
10717,COCLOX DRY SYRUP,25, 25.00 ,บาท/ขวด
14740,COCONUT OIL PLUS MCT OIL 3X10'S (MSP),222, 222.00 ,บาท/กล่อง
10722,COD LIVER PATAR 60'S รุ่นใหม่,45.25, 45.25 ,บาท/ขวด
11077,CO-DIOVAN 160/25 28'S,838, 838.00 ,บาท/กล่อง
11075,CO-DIOVAN 80/12.5 MG. 2X14'S,622, 622.00 ,บาท/กล่อง
11084,CODIPHEN TABLET 1X10'S,25, 25.00 ,บาท/กล่อง
10725,COLCHICINE LILY 100'S,455, 455.00 ,บาท/กล่อง
10729,COLD HOT PACK 10x25 cm size M montana,132, 132.00 ,บาท/กล่อง
10743,COLD HOT PACK 12X10.5 cm size S MONTANA,65, 65.00 ,บาท/กล่อง
14639,COLD HOT PAD 10x25 cm BIG long med,77, 77.00 ,บาท/กล่อง
14640,COLD HOT PAD 12X10.5 cm SMALL long med,40, 40.00 ,บาท/กล่อง
15976,COLD Hot Therapy Pack kids 1X2's(ประคบร้อนเย็น) หมดอายุ11/25,140, 140.00 ,บาท/กล่อง
14732,COLLAGEN 5000 MG 15 G/8 SACHETS mixberry (MSP),255, 255.00 ,บาท/กล่อง
10747,COLLOMACK 10 ML.,98.25, 98.25 ,บาท/ขวด
11219,COLOFAC 135 MG. 50'S,404, 404.00 ,บาท/กล่อง
16138,Colosure 400 GM นมเสริมภูมิคุ้มกันและกล้ามเนื้อ,378.75, 378.75 ,บาท/กระป๋อง
16479,Colosure 800 GM นมเสริมภูมิคุ้มกันและกล้ามเนื้อ,758, 758.00 ,บาท/กระป๋อง
16288,COLPERMIN 10X10 ขายยกกล่อง,755, 755.00 ,บาท/กล่อง
15155,COMBIC 33 60 ML.,50, 50.00 ,บาท/ขวด
15498,COMBIF AR 3x10'S รุ่นแถม 10'S,405, 405.00 ,บาท/กล่อง
11237,COMBIF AR 10'S,168, 168.00 ,บาท/กล่อง
10751,COMBIZYM (TAB) 10X10'S exp 1/2027 มีล๊อตเดียว,722, 722.00 ,บาท/กล่อง
12418,COMFORT 100,98.5, 98.50 ,บาท/กล่อง
15982,COMFY LOZENGE Honey Lime&Mint 1X8'S,15, 15.00 ,บาท/กล่อง
10750,CON CON 15 ML.,41, 41.00 ,บาท/ขวด
12795,CONCEPT SCAR GEL PLUS 7 GM,169, 169.00 ,บาท/หลอด
10754,CONCOR 2.5 10X10'S,610, 610.00 ,บาท/กล่อง
10756,CONCOR 5 10X10,842, 842.00 ,บาท/กล่อง
10758,"CONFORMING longmed 2""X5Y ( ขายยกกล่อง )",53, 53.00 ,บาท/โหล
10759,"CONFORMING longmed 3""x5y ( ขายยกกล่อง )",75, 75.00 ,บาท/โหล
10762,"CONFORMING longmed 4""x5y ( ขายยกกล่อง )",96, 96.00 ,บาท/โหล
11883,CONTROLOC 20 MG. 14'S,614, 614.00 ,บาท/กล่อง
11884,CONTROLOC 40 MG. 14'S,806, 806.00 ,บาท/กล่อง
15463,COOL BABY เจลลดไข้เด็กเล็ก 3x2's(0-24 เดือน;NANOMED),54, 54.00 ,บาท/กล่อง
15466,COOL KIDS EXTRA COOL เจลเย็นพิเศษสดชื่น 3x2's(NANOMED),54, 54.00 ,บาท/กล่อง
15464,COOL KIDS เจลลดไข้เด็กโต 3X2'S (NANOMED),54, 54.00 ,บาท/กล่อง
15467,COOL TEMP SOOTHING ROLLER BALL ลูกกลิ้งนวดขมับ,78, 78.00 ,บาท/อัน
15465,COOL TEMP เจลลดไข้ผู้ใหญ่ 3x2's(NANOMED),54, 54.00 ,บาท/กล่อง
11039,COOLNAC GEL 30 GM. DICLOFENAC CCB,25, 25.00 ,บาท/หลอด
15578,COOLPAD CHILDREN (1ซอง/กล่องx2แผ่น)kress,23.75, 23.75 ,บาท/กล่อง
11606,COPROFEN 400 MG.50X10'S,440, 440.00 ,บาท/กล่อง
11603,COPROFEN SYRUP 60 ML.,18.5, 18.50 ,บาท/ขวด
14799,CORDED REUSABLE EARPLUGS 1คู่,75, 75.00 ,บาท/ชิ้น
12765,COROXIN 150 MG. 10X10'S,145, 145.00 ,บาท/กล่อง
12762,COROXIN 300 MG. 10X10'S,270, 270.00 ,บาท/กล่อง
11928,COSANAL สารสกัดจากเปลือกอ้อย 30'S,340, 340.00 ,บาท/ขวด
11285,COSOPT EYE DROP 5 ML.,520, 520.00 ,บาท/ขวด
15574,COTREN VAGINAL TABLET 1'S,22, 22.00 ,บาท/กล่อง
10784,COTTON ( KARISMA ) KING SIZE,30, 30.00 ,บาท/ห่อ
10781,COTTON ( KARISMA ) แผ่นกลม 80 แผ่น,25.5, 25.50 ,บาท/ห่อ
10780,COTTON ( KARISMA )BALL40 GM.,12.25, 12.25 ,บาท/ห่อ
10783,COTTON ( KARISMA )แผ่น 50 GM.,19.25, 19.25 ,บาท/ห่อ
10782,COTTON ( KARISMA )แผ่น single sheet 100 แผ่น,25, 25.00 ,บาท/ห่อ
10777,COTTON BUD 100 ก้านรถพยาบาล,12, 12.00 ,บาท/ห่อ
10778,COTTON SINGLE SHEET แผ่นเดี่ยว 100 แผ่น รถพยาบาล,26.5, 26.50 ,บาท/ห่อ
10776,COTTON WOOL (17-) 12GM.(1ห่อมี 50 แผ่น),312.5, 312.50 ,บาท/ห่อ
10771,COTTON WOOL (2-)(1ห่อมี 50 แผ่น),1.32, 1.32 ,บาท/แผ่น
10773,COTTON WOOL (85-)200g พยาบาลม้วน,49, 49.00 ,บาท/ม้วน
14546,COTTON WOOL ก้อน longmed 40GM,13, 13.00 ,บาท/ห่อ
14517,COTTON WOOL ก้อน รถพยาบาล0.35 GMน้ำหนัก 20 กรัม,7.25, 7.25 ,บาท/ห่อ
10774,COTTON WOOL ก้อน รถพยาบาล40GM 32-,13.75, 13.75 ,บาท/ห่อ
10775,COTTON WOOL แผ่น รถพยาบาล50 GM.,20, 20.00 ,บาท/ชิ้น
14438,COTTON WOOL แผ่นกลม รถพยาบาล 80 แผ่น,25.5, 25.50 ,บาท/ชิ้น
10772,COTTON WOOL รถพยาบาล(27-) 25GM พยาบาลม้วน,10.25, 10.25 ,บาท/ม้วน
14026,COTTON แผ่น แบบรีดข้าง รถพยาบาล 100 แผ่น 50 กรัม,26.5, 26.50 ,บาท/ห่อ
11001,COUGO 5X4'S,18.75, 18.75 ,บาท/กล่อง
10815,COUNTERPAIN 120 GM 1ลังมี 24 หลอด,126, 126.00 ,บาท/หลอด
10817,COUNTERPAIN 30 GM 1ลังมี 60 หลอด,42, 42.00 ,บาท/หลอด
10816,COUNTERPAIN 60 GM 1ลังมี 30 หลอด,72, 72.00 ,บาท/หลอด
10820,COUNTERPAIN COOL 120 GM 1ลังมี 24 หลอด,133.5, 133.50 ,บาท/หลอด
10818,COUNTERPAIN COOL 30 GM 1ลังมี 60 หลอด,49.5, 49.50 ,บาท/หลอด
10819,COUNTERPAIN COOL 60 GM 1ลังมี 30 หลอด,79, 79.00 ,บาท/หลอด
14649,COUNTERPAIN PLASTER COOL 1 กล่องมี 10 ซอง ขายยกกล่อง,535, 535.00 ,บาท/กล่อง
14650,COUNTERPAIN PLASTER WARM 1 กล่องมี 10 ซอง ขายยกกล่อง,535, 535.00 ,บาท/กล่อง
16609,COUNTERPAIN PLASTER SAKURA (กลิ่น ซากุระ),59.5, 59.50 ,บาท/กล่อง
16608,COUNTERPAIN PLASTER WHITE TEA(กลิ่น ไวท์ที),59.5, 59.50 ,บาท/กล่อง
10821,COUNTERPAIN PLUS 25 GM.,121, 121.00 ,บาท/หลอด
10823,COUNTERPAIN PLUS 50 GM.,205, 205.00 ,บาท/หลอด
10837,COVERSYL 5 MG. 30'S,474, 474.00 ,บาท/ขวด
10836,COVERSYL ARGININE PLUS 5/1.25 MG. 30'S,475, 475.00 ,บาท/กล่อง
13401,COXIUM CAPSULE 500 MG. 10X10'S,238.5, 238.50 ,บาท/กล่อง
13403,COXIUM POWDER 1500 MG. 1X30 SACH,310, 310.00 ,บาท/กล่อง
13921,COXIUM TABLET 1500 MG. 1X30 'S,300, 300.00 ,บาท/กล่อง
14060,COXMULTIVIT SYRUP 60 ML.,36, 36.00 ,บาท/ขวด
10838,COZARR 50 MG 30'S,900, 900.00 ,บาท/กล่อง
10687,CPM 4 mg.เม็ดเหลือง 1X100 's asu,6.25, 6.25 ,บาท/ขวด
10867,CRAVIT 500 MG 5'S,370, 370.00 ,บาท/กล่อง
10868,CRAVIT OPHTHALMIC 5 ML. Levofloxacin,127, 127.00 ,บาท/ขวด
15262,CRAXACIN 500 MG 10'S,90, 90.00 ,บาท/กล่อง
11198,CREAM 91E,43.5, 43.50 ,บาท/ชิ้น
15079,CREON 10000 1X 10'S,205, 205.00 ,บาท/กล่อง
11814,CRESTOR 10 MG. 28'S,1010," 1,010.00 ",บาท/กล่อง
11813,CRESTOR 20 MG. 28'S,1520," 1,520.00 ",บาท/กล่อง
11754,CRIXAN 500 MG. 5X14'S,270, 270.00 ,บาท/แผง
16611,CROBREL moist ointment plus 20 g,66.5, 66.50 ,บาท/หลอด
15926,CT-KAPROLIS PLUS MOUTH SPRAY 15 ML,62, 62.00 ,บาท/ขวด
12993,CUTICELL C 10 CM X10CM,90, 90.00 ,บาท/กล่อง
10900,CYBELE SCA KIDS 9 GM.,138, 138.00 ,บาท/หลอด
10907,CYBELE SCAGEL UV SPF 30 9 GM.,148, 148.00 ,บาท/หลอด
10906,CYBELE SCAGEL UV SPF 30 19 GM.,270, 270.00 ,บาท/หลอด
10901,CYBELE SCAGEL 19 GM,250, 250.00 ,บาท/หลอด
10905,CYBELE SCAGEL 4 GM.,69, 69.00 ,บาท/หลอด
10895,CYBELE SCAGEL 9 GM.,137, 137.00 ,บาท/หลอด
14999,CYBELE SCAGEL19G +19 gm.แพคคู่,350, 350.00 ,บาท/แพค
15379,CYBELE SCAGEL19GM+ SPF30 แพคคู่กันแดด,320, 320.00 ,บาท/แพค
15129,CYBELE SCAGELPLUS 10 GM.,201, 201.00 ,บาท/หลอด
10873,CYCLO-PROGYNOVA 21'S,166, 166.00 ,บาท/กล่อง
13948,CYPROHEPTADINE 1000.S ขาวกลม,100, 100.00 ,บาท/ขวด
14582,CYSTALINE 600 แบบแผง 1x5x4'S,168, 168.00 ,บาท/กล่อง
11376,CYSTALINE 600 หลอด 10'S,104, 104.00 ,บาท/กล่อง
15259,D THROAT SPRAY 0.15% 15 ML. LEMON สำหรับเด็ก,162, 162.00 ,บาท/กล่อง
15258,D THROAT SPRAY 0.3% 15 ML. LEMON,162, 162.00 ,บาท/กล่อง
15257,D THROAT SPRAY 0.3% 15 ML. MINT,162, 162.00 ,บาท/กล่อง
16184,D THROLIS KIDS MOUTH SPRAY 10 ML. stada,100, 100.00 ,บาท/กล่อง
10893,DACIN-F 300 10X10'S,320, 320.00 ,บาท/กล่อง
10882,DAFLON 1000 MG 3x10'S servier,583, 583.00 ,บาท/กล่อง
10877,DAFLON 500 MG 2x15'S servier,290, 290.00 ,บาท/กล่อง
11028,DAFNE 35 1X21'S,90.75, 90.75 ,บาท/กล่อง
10878,DAFOMIN 500 MG. 3X10'S,135, 135.00 ,บาท/กล่อง
10881,DAFOMIN 500 MG.30X10'S,990, 990.00 ,บาท/กล่อง
15676,DAILYTON 20x1x28's(MASA),62.5, 62.50 ,บาท/แผง
11675,DAINOX CAP 1000'S,250, 250.00 ,บาท/ขวด
10886,DAIVOBET OINTMENT 15 GM.,555, 555.00 ,บาท/หลอด
10883,DAIVONEX calcipotriol 50 mcg/g. 30 gm,578, 578.00 ,บาท/หลอด
10884,DAIVONEX SCALP 30 ML.,630, 630.00 ,บาท/ขวด
10889,DALACIN-T SOLU 10 ML,82.5, 82.50 ,บาท/ขวด
15178,DANDRIL100 ML.,68, 68.00 ,บาท/ขวด
10928,DAONIL 100 เม็ด,300, 300.00 ,บาท/กล่อง
11188,D-CHAMP 50 ซอง มะนาว,146, 146.00 ,บาท/กล่อง
11183,D-CHAMP 50 ซอง ส้ม,146, 146.00 ,บาท/กล่อง
11008,D-COAT 500'S,510, 510.00 ,บาท/ขวด
11010,D-COAT 50X10'S **ร้านละ 1 กล่อง**,510, 510.00 ,บาท/กล่อง
10939,DEANXIT 10x10'S ขายขาดไม่รับคืน 4/2027,530, 530.00 ,บาท/ขวด
10941,DECOLGEN PRIN,188, 188.00 ,บาท/กล่อง
16504,DEEDAY BIO C& Multivitaminn Plus Elderberry 120 ml,189, 189.00 ,บาท/กล่อง
16502,DEEDAY BIOMAG PLUS VITAMINS 3X10'S,147, 147.00 ,บาท/กล่อง
16503,DEEDAY BIOTIN (H) PLUS ZINC 6X10'S,180.5, 180.50 ,บาท/กล่อง
14725,DEEDAY LUTI-BERRY MIXED 30'S SOFTGEL,211.5, 211.50 ,บาท/กล่อง
14042,DEFUNGO 1 เม็ด 0.5 gm ขายขาดไม่รับคืน,25.25, 25.25 ,บาท/กล่อง
14215,DEFUNGO 6 เม็ด 0.1 G.,25.25, 25.25 ,บาท/กล่อง
14400,DEFUNGO CREAM 10 gm,41, 41.00 ,บาท/กล่อง
12894,DEHECTA 20 POUCHES macrophar,466, 466.00 ,บาท/กล่อง
15442,DEHEC-Z 60 ML. (ZINC SYRUP 15MG/5ML ),75, 75.00 ,บาท/ขวด
13365,DELTACARBON 10X10'S,225, 225.00 ,บาท/กล่อง
14111,DELTACARBON รุ่นใหม่ 10'S,24, 24.00 ,บาท/แผง
14349,DELTACHARCOAL รุ่นใหม่ 10'S,100, 100.00 ,บาท/กล่อง
14391,DELYTE-ORS รสส้ม 10 ซอง,40, 40.00 ,บาท/กล่อง
15068,DENAC GEL 30 GM.,25, 25.00 ,บาท/หลอด
16058,DENOX SPRAY 0.05% (สูตร OTRIVIN),72, 72.00 ,บาท/ขวด
16057,DENOX SPRAY 0.1% (สูตร OTRIVIN),83, 83.00 ,บาท/ขวด
15398,DENTISTE HYGENIC BREATH SPRAYสเปรย์ระงับกลิ่นปาก 15 ml,118, 118.00 ,บาท/อัน
15554,DENTISTE KIDS GUM&TEETH ULTRASOFT คละสี,58, 58.00 ,บาท/อัน
