รหัสสินค้า,ชื่อสินค้า,ราคา
8.85304E+12,ALSOFF COTTON (สำลีชุปแอลกอฮอล์)8x12'S/BX.,66.5
8.85304E+12,ALSOFF GEL 30MLx12ขวด/กล่อง(เสือดาว),260
8.85329E+12,ALSOFF สเปรย์ 70% 30 ML.(กลิ่นมะลิ),22.75
8.85511E+12,ALUMAG - S 50x10'S.(TCP.),519
8.85024E+12,ALUPEP 10x10'S(SPS) ALU+MG+ATOPINE,7
8.85147E+12,AM ORT CREAM 15G.(CLOBETASOL)TNP.,61.75
8.85932E+12,"AMADO P-COLLAGEN 110,000MG 110.66G.",363
8.85068E+12,AMBES 10MG(AMLOPINE) 10x10'S(GPO),97
8.85068E+12,AMBES 5MG(AMLOPINE) 10x10'S(GPO),57
8.85545E+12,AMBROCIN 50x10'S(AMBROXAL)สหแพทย์,144
8.85291E+12,AMBRONC 60ML(AMBROXOL)(BLHUA),14.5
8.85147E+12,AMBROX 60ML(AMBROXOL)/ขวด ฟ้า TNP.,28.5
8.85147E+12,AMBROX JUNIOR 60ML(AMBROXOL)/ขวด ชมพู,27.5
8.85711E+12,AMELA-EX CR 12ML.ล./หลอด,215
8.85711E+12,AMELA-EX CR 30ML.ญ./หลอด,350
8.85867E+12,AMICOF 100MG เด็ก 60ML(CARBOCYS),21.5
8.85867E+12,AMICOF 250MG.60ML(CARBOCYS.)ฟ้า,29.25
8.85263E+12,AMINOLEBAN-ORAL 450G.(สำหรับผู้ป่วยโรคตับ),535
8.85267E+12,AMK 1000MG 10x10'S(แพ็คละ10แผง)(AUGMENTIN),950
8.85267E+12,AMK 1000MG 1x10'S(RX)/กล่อง(AUGMENTIN),95
8.85267E+12,AMK 625MG 10'S (RX)/กล่อง,78
8.85267E+12,AMK ES-600 70ML.(642.9MG/5ML.)สูตรAUGMENTIN,343
8.85267E+12,AMK SUS.228.5MG/5ML(70ML),98
8.85267E+12,AMK SUS.457MG/5ML(70ML),144.75
8.90112E+12,AMLODAC 10 10x10'S(AMLODIPINE)ZYDUS,79
8.90112E+12,AMLODAC 5 10x10'S(AMLODIPINE)ZYDUS,54
8.85262E+12,AMLOPINE 10MG 10x10'S,199
8.85262E+12,AMLOPINE 5MG.10x10'S.(BERLIN),153.5
8.85314E+12,AMLOPRESS 10MG. 50x10'S(AMLOPINE)ชุมชน,395.75
8.85314E+12,AMLOPRESS 5 10x10'S(AMLODIPINE)ชุมชน,75
8.85314E+12,AMLOPRESS 5MG. 50x10'S(AMLOPINE)ชุมชน,296.75
8.85886E+12,AMMA LOTION 60ML.(T.A 0.1)NIDA,24.5
4.98707E+12,AMMELTZ 48CC.เล็ก,96
4.98707E+12,AMMELTZ 82ML. ใหญ่,132
4.98707E+12,AMMELTZ GLOD 48ML.(เล็ก),149.25
4.98707E+12,AMMELTZ HEAT PATCH 10ซอง/แพ็ค,204.5
4.98707E+12,"AMMELTZ HEAT PATCH GOLD 10'S(คอ,ไหล่)",29
2.49871E+13,AMMELTZ HEAT PATCH GOLD 10'S(ประจำเดือน),230.5
4.98707E+12,AMMELTZ HEAT PATCH GOLD 10'S(ปวดหลัง),29
4.98707E+12,AMMELTZ YOKO CREAM 30G.,36
8.85008E+12,AMMONIA-VS.30CC.(วิทยาศรม),12.75
8.85008E+12,AMMONIA-VS.450CC.(วิทยาศรม),118.75
8.85905E+12,AMMOX 250 DRY SYRUP 60ML.(AMOXY)HK.(มีกล่อง),20.5
8.85905E+12,AMMOX 250 DRY SYRUP 60ML.(HK.)ขวดเปลือย,20.75
,AMOGIN EFFE - รสส้ม 12ซอง(PRO),0
8.85945E+12,AMOGIN EFFE - รสส้ม 12ซอง/กล่อง(Millimed),88.5
8.85546E+12,AMOGIN EFFE - รสส้ม 50ซอง/กล่อง(MILLED),309
8.85945E+12,AMOGIN EFFE - รสส้ม 5ซอง/กล่อง(Millimed),37.5
,AMOGIN GEL 10x15ML(ซอง),4.25
8.85546E+12,AMOGIN GEL 30ซองx15ML/กล่อง,122
8.85546E+12,AMOGIN OTC TAB 1x10'S/BX.,10
8.85546E+12,AMOGIN TAB 3x10'S,26.5
8.85546E+12,AMOGIN TAB 50x10'S,367.5
8.85546E+12,AMOGIN-GEL 240ML(MILLIMED) 4โหล/ลัง *P,36
8.85546E+12,AMOGIN-GEL 450ML(MILLIMED) 2โหล/ลัง,55
8.85977E+12,AMOKSIKLAV 1G.10'S/กล่อง(AUGMENTIN),114
3.83896E+12,AMOKSIKLAV 625MG.10'S/กล่อง,96
8.85274E+12,A-MOL (PARA 500MG.) 20x10'S(SIAM),238
8.85274E+12,A-MOL SUSP 60ML(PARA120MG องุ่น),45.5
8.85274E+12,A-MOL SUSP 60ML(PARA250MG ส้ม)สยาม,46.75
8.85274E+12,A-MOL SYR.120MG.60ML(PARA.)สละ,46.5
8.85188E+12,AMOTIN 1000MG.10'S(TO)สูตรAUGMENTIN,103
8.85188E+12,AMOTIN 1000MG.14'S(TO)สูตรAUGMENTIN,125
8.85188E+12,AMOTIN 1000MG.5x10'S(TO)สูตรAUGMENTIN,385
8.85188E+12,AMOXI T.O.250MG.1000'S เขียว-ฟ้า,555
8.85188E+12,AMOXI T.O.500MG.500'S เขียว-ฟ้า,605
8.85188E+12,AMOXI T.O.500MG.50x10'Sเขียว-ฟ้า,650
8.85188E+12,AMOXI T.O.500MG.50x10'Sน้ำตาล-เหลือง,650
8.85101E+12,AMOXIL 125 DRY(GSK),68.5
8.85101E+12,AMOXIL 500MG.GSK 20'S/BX(นอก),109.5
8.85905E+12,AMOXY 125MG. DRY 60ML(HK.),15.5
8.85314E+12,AMOXY 500MG.50x10'S(น้ำตาล-เหลือง)ชุมชน,695
8.85281E+12,AMOXY M.H. 500MG. 50x10'S(เขียว-ฟ้า),717.5
8.85905E+12,AMOXY WS 500MG.25x10'S(HK)ส้มเหลือง,275
8.85545E+12,AMOXYCILLIN 500MG. 500'S ชมพู(สหแพทย์),525
8.85545E+12,AMOXYCILLIN 500MG. 50x10'S ชมพู(สหแพทย์),490
8.85876E+12,AMOXYCILLIN 500MG. 50x10'S(เขียว-ฟ้า)7ดาว SSP,443
8.85876E+12,AMOXYCILLIN 500MG. 50x10'S(ชมพู-ขาว)7ดาว SSP,443
8.85406E+12,AMPAVIT 1000MCG.INJ. (B12) 10ML,27
8.85406E+12,AMPAVIT 1000MCG.INJ. 1ML(B12)x10'S,36.5
8.85188E+12,AMPI 500 CAP(T.O.) ดำ-แดง 500'S,685
116021916,AMPI 500MG.(BSP) 500'S/BX,1.25
8.85651E+12,AMPI-500(AMPICILLIN)50x10S T.MAN,687
8.85885E+12,AMPICILLIN 25x10'S/BX.(AU),321.5
8.85885E+12,AMPICILLIN CAPSULE 500'S/BT.(AU),618
8.85546E+12,AMPINE-5MG. 10x10'S(AMLODIPINE)MILLIMED,145.75
8.85802E+12,AMPIPEN N.L. 500 MG. 500'S,710
8.85802E+12,AMPIPEN N.L. 500MG.10x10'S/BX.(AMPICILLIN),236
8.85635E+12,AMPOL SUS. 60ML(PARA 120MG.)ASIAN,18.75
8.85394E+12,AMPREXYL 500MG(AMPI) 500'S(UNISON),0
8.85394E+12,AMPREXYL 500MG(AMPI)10x50'S(UNISON),16.25
8.85909E+12,AMSEL AMINO BILBERRY EXTRACT PLUS 30'S,250
8.85909E+12,AMSEL BIOTIN+ZINC & HORSETAIL 30'S,192.75
8.85909E+12,AMSEL CALCIUM L-THREONATE+COLLA TYPE ll 60'S,302
8.85909E+12,AMSEL COLLAGEN 10000MG(เบอรี่มิก),578.25
8.85909E+12,AMSEL COLLAGEN 10000MG(เมลอน),578.25
8.85909E+12,"AMSEL GINKGO PLUS B1,6,12 45'S",243.5
8.85909E+12,AMSEL GLUTA PLUS 10'S(เบอรี่มิก),418.5
8.85909E+12,AMSEL L-ARGININE PLUS ZINC 40'S,145
8.85909E+12,AMSEL L-GLUTAMINE 800 30'S,213.5
8.85909E+12,"AMSEL MAGNESIUM PLUS VIT C,B PREMIX 30'S",152
8.85909E+12,"AMSEL MAGNESIUM+CHAMOMLIE,TART CHERRY 30'S",206.5
8.85909E+12,AMSEL MULTI VIT PLUS 40'S,212.5
8.85909E+12,AMSEL VITAMIN B COMPLEX HG 40'S,248.5
